,comicID,x1,x2,x3,gmmCluster,url
1381,1382,11.156224,-10.448334,3.260969,1,"=hyperlink(""https://xkcd.com/1382/"")"
918,919,-8.407922,-8.443484,4.3004637,1,"=hyperlink(""https://xkcd.com/919/"")"
919,920,-3.3769855,2.8263614,-0.34515417,1,"=hyperlink(""https://xkcd.com/920/"")"
1681,1682,6.3941536,-0.17744212,-3.0353143,1,"=hyperlink(""https://xkcd.com/1682/"")"
920,921,-3.4685218,-2.7146478,3.0255506,1,"=hyperlink(""https://xkcd.com/921/"")"
455,456,-3.3738563,-5.5752764,10.434281,1,"=hyperlink(""https://xkcd.com/456/"")"
1617,1618,6.1699915,-14.480543,-4.0290213,1,"=hyperlink(""https://xkcd.com/1618/"")"
1688,1689,3.0349886,-9.157527,-1.7522521,1,"=hyperlink(""https://xkcd.com/1689/"")"
922,923,7.61291,1.7120898,-5.367443,1,"=hyperlink(""https://xkcd.com/923/"")"
464,465,6.614534,-10.018889,-4.3588176,1,"=hyperlink(""https://xkcd.com/465/"")"
536,537,-5.48789,-11.6097555,6.4952617,1,"=hyperlink(""https://xkcd.com/537/"")"
1404,1405,-6.52671,-3.1910167,6.917421,1,"=hyperlink(""https://xkcd.com/1405/"")"
484,485,8.427524,-7.71963,-7.6284995,1,"=hyperlink(""https://xkcd.com/485/"")"
522,523,1.0562841,-9.062318,-8.824701,1,"=hyperlink(""https://xkcd.com/523/"")"
516,517,-4.7532535,-15.058675,5.0437055,1,"=hyperlink(""https://xkcd.com/517/"")"
1634,1635,9.819719,-8.159674,-1.192303,1,"=hyperlink(""https://xkcd.com/1635/"")"
1397,1398,4.431634,-1.551299,3.848016,1,"=hyperlink(""https://xkcd.com/1398/"")"
508,509,12.546174,-10.343513,-0.7448524,1,"=hyperlink(""https://xkcd.com/509/"")"
507,508,-1.8876088,-17.749027,8.2955265,1,"=hyperlink(""https://xkcd.com/508/"")"
878,879,4.659912,-14.752138,5.7048674,1,"=hyperlink(""https://xkcd.com/879/"")"
529,530,-1.2212523,-5.803833,10.475996,1,"=hyperlink(""https://xkcd.com/530/"")"
530,531,-9.249946,-8.930924,10.299519,1,"=hyperlink(""https://xkcd.com/531/"")"
1644,1645,2.5429482,-10.464108,-2.1210198,1,"=hyperlink(""https://xkcd.com/1645/"")"
1646,1647,3.8264058,-4.327233,-5.287545,1,"=hyperlink(""https://xkcd.com/1647/"")"
499,500,2.8326805,-10.6848135,11.160801,1,"=hyperlink(""https://xkcd.com/500/"")"
498,499,1.5100178,-1.4044588,-0.03827561,1,"=hyperlink(""https://xkcd.com/499/"")"
896,897,2.0135713,2.4550312,0.13529308,1,"=hyperlink(""https://xkcd.com/897/"")"
900,901,9.175593,-5.0727663,-10.824268,1,"=hyperlink(""https://xkcd.com/901/"")"
1394,1395,4.7062545,-4.943701,11.628112,1,"=hyperlink(""https://xkcd.com/1395/"")"
1648,1649,19.400532,-6.9787836,-2.0386312,1,"=hyperlink(""https://xkcd.com/1649/"")"
1393,1394,-6.193876,-5.6451974,2.0617354,1,"=hyperlink(""https://xkcd.com/1394/"")"
486,487,-3.1073673,-15.91425,5.335678,1,"=hyperlink(""https://xkcd.com/487/"")"
1418,1419,1.8914418,-2.2811031,-1.105425,1,"=hyperlink(""https://xkcd.com/1419/"")"
371,372,5.8701897,-9.636967,4.766254,1,"=hyperlink(""https://xkcd.com/372/"")"
444,445,9.367883,-14.659556,8.459098,1,"=hyperlink(""https://xkcd.com/445/"")"
550,551,3.7284472,-3.5322483,-2.0881119,1,"=hyperlink(""https://xkcd.com/551/"")"
397,398,-2.7654195,-6.020825,5.098444,1,"=hyperlink(""https://xkcd.com/398/"")"
1718,1719,3.433848,-6.0926013,13.551844,1,"=hyperlink(""https://xkcd.com/1719/"")"
394,395,12.426756,-2.2705314,8.590053,1,"=hyperlink(""https://xkcd.com/395/"")"
1341,1342,-0.13801382,-4.823744,-2.1037416,1,"=hyperlink(""https://xkcd.com/1342/"")"
1720,1721,1.5552102,3.0911195,5.368778,1,"=hyperlink(""https://xkcd.com/1721/"")"
1603,1604,19.624151,-11.738639,0.47720408,1,"=hyperlink(""https://xkcd.com/1604/"")"
971,972,-1.0701891,-15.860767,9.672038,1,"=hyperlink(""https://xkcd.com/972/"")"
973,974,-6.344027,-2.1356637,3.437367,1,"=hyperlink(""https://xkcd.com/974/"")"
398,399,6.3984823,-2.220108,-4.675254,1,"=hyperlink(""https://xkcd.com/399/"")"
384,385,-4.747324,-7.841755,-5.0665765,1,"=hyperlink(""https://xkcd.com/385/"")"
382,383,-2.3143144,-10.339139,4.505268,1,"=hyperlink(""https://xkcd.com/383/"")"
974,975,12.966318,-5.959463,-3.8066373,1,"=hyperlink(""https://xkcd.com/975/"")"
380,381,10.094546,-12.807929,5.089985,1,"=hyperlink(""https://xkcd.com/381/"")"
379,380,3.0003417,-14.009026,11.255275,1,"=hyperlink(""https://xkcd.com/380/"")"
378,379,2.2943614,-13.739838,10.386474,1,"=hyperlink(""https://xkcd.com/379/"")"
377,378,10.982626,-9.357565,-1.4159847,1,"=hyperlink(""https://xkcd.com/378/"")"
375,376,4.803739,-7.4662547,7.7363405,1,"=hyperlink(""https://xkcd.com/376/"")"
975,976,15.187965,-2.3982801,1.9972681,1,"=hyperlink(""https://xkcd.com/976/"")"
